"","X","Year","Player","Age","G","GS","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Improvement","NextSeasonChange","PG","SG","SF","C","LAL","PHO","TOT","DAL","IND","HOU","CHI","ORL","POR","PHI","NJN","UTA","DET","BOS","ATL","GSW","NYK","DEN","MIN","CHA","LAC","SDC","SEA","NOH","NOP","BRK","CLE","CHH","MIA","MIL","SAS","TOR","WAS","OKC","SAC","MEM","WSB","KCK","VAN","NOK"
"18886",18885,2008,"Keyon Dooling",27,72,1,18.5,14.1,0.572,0.456,0.006,0.078,0.044,0.16,0.014,0.003,0.107,0.196,2.4,1.2,3.7,0.132,-0.5,-1.3,-1.8,0.1,2.8,5.9,0.468,0.3,0.9,0.338,2.4,5,0.492,0.494,2.3,2.7,0.845,0.1,1.3,1.4,1.8,0.5,0.1,0.8,1.8,8.1,0.0253164556962024,0.197530864197531,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19494",19493,2009,"Keyon Dooling",28,77,18,26.9,13.6,0.562,0.258,0.014,0.076,0.045,0.213,0.018,0.003,0.136,0.174,2.8,0.9,3.7,0.085,0.8,-1.9,-1.1,0.4,3.4,7.8,0.436,1.3,3.1,0.421,2.1,4.7,0.446,0.519,1.6,2,0.825,0.3,1.7,2,3.5,0.9,0.1,1.4,1.8,9.7,0.197530864197531,-0.288659793814433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20061",20060,2010,"Keyon Dooling",29,53,8,18.3,11.6,0.519,0.188,0.009,0.057,0.032,0.24,0.018,0,0.144,0.194,0.4,0.3,0.7,0.035,-0.4,-3.8,-4.2,-0.5,2.4,6.1,0.398,1.1,3,0.376,1.3,3.2,0.419,0.489,0.9,1.2,0.77,0.2,0.9,1,2.5,0.6,0,1.1,1.5,6.9,-0.288659793814433,0.0289855072463767,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20672",20671,2011,"Keyon Dooling",30,80,22,22,11.3,0.509,0.181,0.008,0.071,0.039,0.234,0.016,0.002,0.14,0.173,0.8,2.1,2.9,0.08,-1,-1.2,-2.2,-0.1,2.6,6.5,0.397,1,2.9,0.346,1.6,3.6,0.439,0.475,1,1.2,0.83,0.2,1.3,1.5,3,0.7,0,1.1,1.5,7.1,0.0289855072463767,-0.436619718309859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"12676",12675,1996,"Khalid Reeves",23,51,12,16.3,11.1,0.53,0.361,0.025,0.086,0.055,0.221,0.023,0.003,0.193,0.174,0.5,0.6,1.1,0.064,-0.8,-1.3,-2,0,1.9,4.5,0.419,0.5,1.8,0.308,1.3,2.7,0.493,0.48,1.2,1.6,0.744,0.4,1.2,1.5,2.3,0.7,0.1,1.2,2.3,5.5,-0.402173913043478,0.490909090909091,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13257",13256,1997,"Khalid Reeves",24,63,30,22.7,11.1,0.508,0.185,0.025,0.069,0.046,0.256,0.012,0.005,0.175,0.187,0.9,0.3,1.2,0.041,-0.3,-3.2,-3.5,-0.5,2.9,7.5,0.391,1.3,3.6,0.366,1.6,3.9,0.416,0.48,1,1.4,0.747,0.5,1.3,1.9,3.6,0.5,0.1,1.7,2.5,8.2,0.490909090909091,0.0609756097560976,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23253",23252,2015,"Khris Middleton",23,79,58,30.1,15.6,0.563,0.18,0.023,0.143,0.084,0.127,0.026,0.004,0.108,0.199,3.2,3.5,6.7,0.135,0.9,0.5,1.4,2,5.1,11,0.467,1.4,3.4,0.407,3.8,7.6,0.494,0.53,1.7,2,0.859,0.6,3.8,4.4,2.3,1.5,0.1,1.4,2.3,13.4,0.107438016528926,0.358208955223881,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7177",7176,1983,"Kiki Vandeweghe",24,82,79,35.5,21.8,0.613,0.364,0.043,0.109,0.076,0.098,0.01,0.007,0.09,0.249,10.5,0.6,11,0.182,4.5,-2.8,1.6,2.7,10.3,18.7,0.547,0.2,0.6,0.294,10.1,18.1,0.556,0.552,6,6.8,0.875,1.5,3.8,5.3,2.5,0.8,0.5,2.2,2.4,26.7,0.241860465116279,0.101123595505618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7517",7516,1984,"Kiki Vandeweghe",25,78,71,35.1,23.6,0.618,0.362,0.031,0.114,0.072,0.131,0.008,0.01,0.077,0.278,9.7,0.6,10.3,0.181,5,-3.1,1.9,2.7,11.5,20.6,0.558,0.1,0.4,0.367,11.3,20.2,0.562,0.562,6.3,7.4,0.852,1.1,3.7,4.8,3.1,0.7,0.6,2,2.4,29.4,0.101123595505618,-0.238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7877",7876,1985,"Kiki Vandeweghe",26,72,69,34.8,18,0.603,0.356,0.033,0.069,0.051,0.062,0.007,0.005,0.08,0.231,7.2,1.2,8.4,0.161,2.2,-2.9,-0.8,0.8,8.6,16.1,0.534,0.2,0.5,0.333,8.4,15.6,0.54,0.538,5.1,5.7,0.896,1,2.1,3.2,1.5,0.5,0.3,1.6,1.6,22.4,-0.238095238095238,0.107142857142857,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
