"","X","Year","Player","Age","G","GS","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Improvement","NextSeasonChange","PG","SG","SF","C","LAL","PHO","TOT","DAL","IND","HOU","CHI","ORL","POR","PHI","NJN","UTA","DET","BOS","ATL","GSW","NYK","DEN","MIN","CHA","LAC","SDC","SEA","NOH","NOP","BRK","CLE","CHH","MIA","MIL","SAS","TOR","WAS","OKC","SAC","MEM","WSB","KCK","VAN","NOK"
"8421",8420,1987,"A.C. Green",23,79,72,28.4,15.7,0.599,0.48,0.112,0.188,0.153,0.046,0.015,0.02,0.125,0.147,4.3,3.3,7.6,0.163,0.6,1,1.7,2.1,4,7.4,0.538,0,0.1,0,4,7.4,0.543,0.538,2.8,3.6,0.78,2.7,5.1,7.8,1.1,0.9,1,1.3,2.2,10.8,0.6875,0.0555555555555556,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8808",8807,1988,"A.C. Green",24,82,64,32.1,14.5,0.581,0.592,0.111,0.191,0.153,0.045,0.016,0.01,0.129,0.147,4.5,3.4,7.9,0.144,0.2,0.8,1,2,3.9,7.8,0.503,0,0,0,3.9,7.8,0.505,0.503,3.6,4.6,0.773,3,5.7,8.7,1.1,1.1,0.5,1.5,2.5,11.4,0.0555555555555556,0.166666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9243",9242,1989,"A.C. Green",25,82,82,30.6,17.8,0.594,0.474,0.123,0.2,0.164,0.055,0.018,0.012,0.115,0.17,5.8,3.5,9.4,0.179,1.6,0.6,2.2,2.7,4.9,9.2,0.529,0,0.2,0.235,4.8,9,0.536,0.532,3.4,4.4,0.786,3.1,5.9,9,1.3,1.1,0.7,1.5,2.1,13.3,0.166666666666667,-0.0300751879699248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9689",9688,1990,"A.C. Green",26,82,82,33,14.7,0.548,0.459,0.115,0.184,0.151,0.046,0.012,0.011,0.107,0.171,4.4,3.3,7.7,0.137,0.3,0,0.4,1.6,4.7,9.8,0.478,0.2,0.6,0.283,4.5,9.3,0.489,0.486,3.4,4.5,0.751,3.2,5.5,8.7,1.1,0.8,0.6,1.4,2.5,12.9,-0.0300751879699248,-0.294573643410853,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10167",10166,1991,"A.C. Green",27,82,21,26.4,13.8,0.556,0.557,0.113,0.162,0.138,0.045,0.014,0.006,0.128,0.156,3.2,2.9,6.1,0.135,0,0.6,0.5,1.4,3.1,6.6,0.476,0.1,0.7,0.2,3,5.9,0.507,0.486,2.7,3.7,0.738,2.5,3.8,6.3,0.9,0.7,0.3,1.2,1.4,9.1,-0.294573643410853,0.494505494505495,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10618",10617,1992,"A.C. Green",28,82,53,35.4,16.7,0.556,0.569,0.118,0.182,0.149,0.06,0.016,0.008,0.1,0.168,5.8,2.9,8.8,0.145,1.2,0.2,1.4,2.5,4.7,9.8,0.476,0.1,0.7,0.214,4.5,9.1,0.495,0.483,4.1,5.6,0.744,3.7,5.6,9.3,1.4,1.1,0.4,1.4,1.7,13.6,0.494505494505495,-0.0588235294117646,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11061",11060,1993,"A.C. Green",29,82,55,34.4,16.3,0.603,0.531,0.115,0.173,0.144,0.059,0.016,0.009,0.118,0.15,6.1,2.6,8.6,0.147,1.6,0.5,2.1,2.9,4.6,8.6,0.537,0.2,0.6,0.348,4.4,8,0.55,0.548,3.4,4.6,0.739,3.5,5.2,8.7,1.4,1.1,0.5,1.4,1.8,12.8,-0.0588235294117646,0.1484375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11530",11529,1994,"A.C. Green",30,82,55,34.5,17,0.555,0.391,0.111,0.188,0.15,0.069,0.012,0.008,0.084,0.176,6.7,2.6,9.3,0.157,1.5,-0.3,1.2,2.3,5.7,11.3,0.502,0.1,0.4,0.229,5.6,10.9,0.513,0.506,3.2,4.4,0.735,3.4,5.8,9.2,1.7,0.9,0.5,1.2,1.7,14.7,0.1484375,-0.238095238095238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12000",11999,1995,"A.C. Green",31,82,52,32.8,14.2,0.596,0.556,0.083,0.204,0.143,0.065,0.01,0.008,0.129,0.142,4.6,2.1,6.7,0.12,0.6,0.2,0.7,1.9,3.8,7.5,0.504,0.5,1.5,0.339,3.3,6,0.547,0.539,3.1,4.2,0.732,2.4,5.8,8.2,1.5,0.7,0.4,1.4,1.8,11.2,-0.238095238095238,-0.330357142857143,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12478",12477,1996,"A.C. Green",32,82,36,25.8,12.9,0.558,0.534,0.092,0.209,0.152,0.049,0.011,0.008,0.126,0.132,2.7,1.7,4.4,0.1,-1.1,-0.3,-1.4,0.3,2.6,5.4,0.484,0.2,0.6,0.269,2.5,4.8,0.513,0.5,2,2.9,0.709,2,4.7,6.8,0.9,0.5,0.3,1,1.7,7.5,-0.330357142857143,-0.0399999999999999,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13035",13034,1997,"A.C. Green",33,83,73,30,12.4,0.523,0.407,0.102,0.205,0.153,0.044,0.015,0.005,0.115,0.118,2.4,2.4,4.8,0.093,-1.8,0.7,-1.1,0.6,2.8,5.8,0.483,0,0.2,0.05,2.8,5.6,0.502,0.485,1.5,2.4,0.65,2.7,5.2,7.9,0.8,0.8,0.2,0.9,1.7,7.2,-0.0399999999999999,0.0138888888888888,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13601",13600,1998,"A.C. Green",34,82,68,32.3,12.8,0.496,0.303,0.09,0.193,0.14,0.073,0.016,0.007,0.101,0.116,2.8,2.4,5.2,0.095,-1.7,1,-0.7,0.9,3,6.5,0.453,0,0,0,3,6.5,0.457,0.453,1.4,2,0.716,2.7,5.5,8.1,1.5,1,0.3,0.8,1.9,7.3,0.0138888888888888,-0.328767123287671,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14140",14139,1999,"A.C. Green",35,50,35,18.5,12.5,0.441,0.203,0.099,0.178,0.139,0.045,0.016,0.006,0.064,0.148,0.7,0.7,1.4,0.074,-1.9,-0.9,-2.8,-0.2,2.2,5.1,0.422,0,0.2,0,2.2,5,0.435,0.422,0.6,1,0.577,1.6,2.9,4.6,0.5,0.6,0.2,0.4,1.4,4.9,-0.328767123287671,0.0204081632653061,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14649",14648,2000,"A.C. Green",36,82,82,23.5,11.2,0.482,0.245,0.09,0.179,0.135,0.059,0.014,0.007,0.11,0.11,1.7,3.3,5,0.124,-2,1.8,-0.2,0.9,2.1,4.7,0.447,0,0,0.25,2.1,4.7,0.449,0.448,0.8,1.2,0.695,2,4,5.9,1,0.6,0.2,0.6,1.5,5,0.0204081632653061,-0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20967",20966,2011,"A.J. Price",24,50,0,15.9,10.7,0.454,0.253,0.023,0.078,0.05,0.227,0.018,0.001,0.13,0.227,-0.4,0.7,0.3,0.02,-1.1,-2.3,-3.4,-0.3,2.3,6.4,0.356,0.8,3,0.275,1.5,3.4,0.427,0.42,1.1,1.6,0.667,0.3,1.1,1.4,2.2,0.6,0,1.1,1.2,6.5,-0.10958904109589,-0.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21530",21529,2012,"A.J. Price",25,44,1,12.9,11.5,0.454,0.201,0.026,0.094,0.06,0.239,0.019,0.003,0.145,0.177,0.2,0.5,0.7,0.063,-0.2,-1.7,-1.9,0,1.3,4,0.339,0.6,2,0.295,0.8,2,0.384,0.414,0.6,0.8,0.8,0.3,1.1,1.4,2,0.5,0,0.7,0.7,3.9,-0.4,0.974358974358974,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19416",19415,2009,"Aaron Brooks",24,80,35,25,12.9,0.521,0.22,0.02,0.07,0.046,0.202,0.012,0.003,0.127,0.229,1.4,2.2,3.6,0.086,0.2,-1.5,-1.3,0.4,4,9.8,0.404,1.4,3.9,0.366,2.5,5.9,0.428,0.476,1.9,2.1,0.866,0.4,1.6,2,3,0.6,0.1,1.6,1.9,11.2,1.15384615384615,0.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19997",19996,2010,"Aaron Brooks",25,82,82,35.6,16,0.549,0.224,0.02,0.066,0.042,0.256,0.012,0.003,0.137,0.257,3.9,1.6,5.5,0.091,2.7,-2.5,0.2,1.6,7,16.2,0.432,2.5,6.4,0.398,4.5,9.8,0.454,0.511,3,3.6,0.822,0.7,2,2.6,5.3,0.8,0.2,2.8,2.4,19.6,0.75,-0.454081632653061,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22338",22337,2014,"Aaron Brooks",29,72,12,21.6,12.5,0.518,0.164,0.031,0.067,0.049,0.233,0.016,0.006,0.158,0.205,1.3,0.9,2.2,0.067,0.4,-1.9,-1.5,0.2,3.2,8.1,0.401,1.3,3.4,0.387,1.9,4.6,0.411,0.484,1.2,1.3,0.874,0.6,1.3,1.9,3.2,0.7,0.2,1.6,2,9,0.267605633802817,0.288888888888889,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22940",22939,2015,"Aaron Brooks",30,82,21,23,14.4,0.534,0.213,0.019,0.075,0.048,0.242,0.015,0.006,0.149,0.25,1.7,1.5,3.3,0.083,1,-2.4,-1.4,0.3,4.2,10,0.421,1.5,3.8,0.387,2.7,6.1,0.442,0.495,1.8,2.1,0.833,0.4,1.6,2,3.2,0.7,0.2,1.9,2.3,11.6,0.288888888888889,-0.387931034482759,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23583",23582,2016,"Aaron Brooks",31,69,0,16.1,11.8,0.494,0.136,0.02,0.075,0.048,0.26,0.014,0.007,0.142,0.229,0.2,0.7,0.9,0.04,-0.5,-2.8,-3.3,-0.4,2.7,6.8,0.401,1,2.7,0.357,1.8,4.1,0.43,0.471,0.7,0.9,0.766,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1,-0.387931034482759,-0.295774647887324,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23699",23698,2016,"Aaron Gordon",20,78,37,23.9,17,0.541,0.333,0.09,0.213,0.151,0.103,0.016,0.024,0.09,0.173,3.2,2.2,5.4,0.139,0.6,1.2,1.8,1.8,3.5,7.4,0.473,0.5,1.8,0.296,3,5.6,0.531,0.509,1.7,2.5,0.668,2,4.5,6.5,1.6,0.8,0.7,0.8,2,9.2,0.769230769230769,0.380434782608696,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12597",12596,1996,"Aaron McKie",23,81,73,27.9,13.4,0.534,0.276,0.044,0.109,0.077,0.146,0.021,0.007,0.143,0.183,2.1,3.2,5.3,0.113,-0.5,1.4,1,1.7,4.2,8.9,0.467,0.5,1.4,0.325,3.7,7.5,0.494,0.493,1.9,2.5,0.764,1.1,2.7,3.8,2.5,1.1,0.3,1.7,2.5,10.7,0.646153846153846,-0.514018691588785,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13173",13172,1997,"Aaron McKie",24,83,11,19.6,12.1,0.524,0.301,0.031,0.132,0.083,0.154,0.026,0.011,0.179,0.147,1,2.4,3.5,0.103,-1.4,1.7,0.3,0.9,1.8,4.4,0.411,0.5,1.2,0.398,1.3,3.2,0.416,0.467,1.1,1.3,0.836,0.5,2.2,2.7,1.9,0.9,0.3,1.1,1.6,5.2,-0.514018691588785,-0.211538461538462,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13712",13711,1998,"Aaron McKie",25,81,32,22.4,8.6,0.41,0.144,0.037,0.112,0.074,0.15,0.03,0.005,0.158,0.12,-0.7,2,1.4,0.036,-2.8,1.5,-1.3,0.3,1.7,4.7,0.365,0.1,0.8,0.19,1.6,3.9,0.399,0.381,0.5,0.7,0.764,0.7,2.1,2.9,2.2,1.2,0.2,0.9,2,4.1,-0.211538461538462,0.170731707317073,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14259",14258,1999,"Aaron McKie",26,50,4,19.2,11.4,0.454,0.262,0.032,0.14,0.085,0.179,0.036,0.002,0.177,0.152,-0.1,1.7,1.6,0.082,-2.1,1.8,-0.3,0.4,1.9,4.7,0.401,0.1,0.6,0.194,1.8,4.1,0.432,0.414,0.9,1.2,0.71,0.5,2.3,2.8,2,1.3,0.1,1.1,1.8,4.8,0.170731707317073,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14775",14774,2000,"Aaron McKie",27,82,14,23.8,13.2,0.497,0.246,0.026,0.114,0.07,0.195,0.029,0.007,0.147,0.173,1.3,3,4.3,0.105,-0.5,1.6,1.1,1.5,3,7.2,0.411,0.5,1.5,0.364,2.4,5.8,0.424,0.449,1.5,1.8,0.829,0.6,2.4,3,2.9,1.3,0.2,1.4,2.4,8,0.666666666666667,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15277",15276,2001,"Aaron McKie",28,76,33,31.5,15.1,0.549,0.272,0.016,0.129,0.073,0.267,0.023,0.002,0.203,0.189,2.3,3.5,5.9,0.118,0.9,1,1.9,2.4,4.4,9.4,0.473,0.7,2.2,0.312,3.8,7.2,0.524,0.511,2,2.6,0.768,0.4,3.7,4.1,5,1.4,0.1,2.7,2.3,11.6,0.45,0.0517241379310345,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15804",15803,2002,"Aaron McKie",29,48,16,30.6,15.8,0.54,0.249,0.02,0.127,0.074,0.217,0.021,0.007,0.146,0.198,1.8,2.1,3.9,0.128,0.9,0.5,1.4,1.3,4.6,10.2,0.449,1.1,2.7,0.398,3.5,7.5,0.467,0.501,2,2.5,0.787,0.5,3.5,4,3.7,1.2,0.3,1.9,1.5,12.2,0.0517241379310345,-0.262295081967213,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16289",16288,2003,"Aaron McKie",30,80,40,29.7,13.7,0.497,0.201,0.03,0.145,0.087,0.186,0.029,0.003,0.131,0.158,2.1,3,5.1,0.104,0,1.4,1.4,2,3.6,8.3,0.429,0.5,1.4,0.33,3.1,6.9,0.449,0.457,1.4,1.7,0.836,0.8,3.6,4.4,3.5,1.6,0.1,1.4,2.2,9,-0.262295081967213,0.0222222222222221,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16827",16826,2004,"Aaron McKie",31,75,41,28.2,13.9,0.55,0.192,0.025,0.115,0.071,0.168,0.022,0.009,0.141,0.162,2.5,2.3,4.8,0.108,0.6,0.7,1.3,1.7,3.5,7.7,0.459,1,2.3,0.436,2.5,5.4,0.469,0.524,1.1,1.5,0.757,0.6,2.8,3.4,2.6,1.1,0.3,1.4,1.9,9.2,0.0222222222222221,-0.760869565217391,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15483",15482,2001,"Aaron Williams",29,82,25,28.5,15.1,0.533,0.477,0.101,0.192,0.145,0.065,0.013,0.036,0.144,0.178,2.9,2.3,5.2,0.107,-1.5,0.9,-0.5,0.9,3.6,7.9,0.457,0,0,0,3.6,7.9,0.458,0.457,3,3.8,0.787,2.6,4.6,7.2,1.1,0.7,1.4,1.6,3.9,10.2,0.342105263157895,-0.294117647058823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15989",15988,2002,"Aaron Williams",30,82,13,18.9,15.2,0.568,0.424,0.083,0.164,0.123,0.081,0.01,0.035,0.132,0.174,2.4,2.5,5,0.154,-1.3,1.3,0.1,0.8,2.8,5.4,0.526,0,0,0,2.8,5.3,0.529,0.526,1.6,2.3,0.699,1.4,2.7,4.1,0.9,0.4,0.9,1,2.6,7.2,-0.294117647058823,-0.138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16467",16466,2003,"Aaron Williams",31,81,0,19.7,11.9,0.504,0.296,0.098,0.139,0.118,0.09,0.009,0.027,0.146,0.164,1.2,2.4,3.7,0.11,-2.3,1.3,-1,0.4,2.5,5.4,0.453,0,0,0,2.5,5.4,0.454,0.453,1.3,1.6,0.785,1.7,2.4,4.1,1.1,0.3,0.7,1,2.5,6.2,-0.138888888888889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14715",14714,2000,"Adam Keefe",29,62,3,9.7,7.6,0.463,0.277,0.093,0.18,0.137,0.085,0.015,0.017,0.24,0.147,-0.4,0.8,0.4,0.03,-4.3,1.5,-2.8,-0.1,0.9,2.1,0.408,0,0,0,0.9,2.1,0.411,0.408,0.5,0.6,0.806,0.7,1.5,2.2,0.5,0.3,0.2,0.7,1.5,2.2,-0.45,0.136363636363636,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8373",8372,1987,"Adrian Dantley*",30,81,81,33.8,18.6,0.614,0.59,0.042,0.087,0.065,0.088,0.011,0.001,0.113,0.237,7.8,2.5,10.3,0.181,2.7,-1.1,1.6,2.5,7.4,13.9,0.534,0,0.1,0.167,7.4,13.8,0.536,0.534,6.7,8.2,0.812,1.3,2.8,4.1,2,0.8,0.1,2.2,2.4,21.5,-0.278523489932886,-0.0697674418604651,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8755",8754,1988,"Adrian Dantley*",31,69,50,31.1,19.9,0.619,0.663,0.045,0.073,0.059,0.119,0.009,0.003,0.108,0.242,7.5,1.9,9.4,0.21,3.3,-1.3,2,2.2,6.4,12.5,0.514,0,0,0,6.4,12.5,0.516,0.514,7.1,8.3,0.86,1.2,2.1,3.3,2.5,0.6,0.1,2,2.1,20,-0.0697674418604651,-0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9187",9186,1989,"Adrian Dantley*",32,73,67,33.2,17.4,0.581,0.595,0.055,0.09,0.073,0.109,0.009,0.003,0.119,0.243,5.5,1.9,7.4,0.147,1.5,-1.3,0.2,1.4,6.4,13.1,0.493,0,0,0,6.4,13.1,0.493,0.493,6.3,7.8,0.81,1.6,2.7,4.3,2.3,0.6,0.2,2.2,2.5,19.2,-0.04,-0.234375,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15150",15149,2001,"Adrian Griffin",26,44,0,8.6,10.5,0.432,0.247,0.08,0.194,0.135,0.117,0.025,0.01,0.143,0.151,0,0.5,0.4,0.056,-3.3,0.4,-2.9,-0.1,0.8,2.2,0.34,0.2,0.6,0.346,0.5,1.6,0.338,0.387,0.4,0.5,0.75,0.6,1.4,2,0.6,0.4,0.1,0.4,1,2.1,-0.686567164179104,2.42857142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15682",15681,2002,"Adrian Griffin",27,58,34,23.8,14.2,0.545,0.136,0.056,0.127,0.092,0.113,0.028,0.006,0.099,0.138,2.3,1.2,3.5,0.121,1.1,1.3,2.4,1.5,3.1,6.2,0.499,0.3,0.9,0.296,2.8,5.3,0.534,0.521,0.7,0.8,0.837,1.2,2.8,3.9,1.8,1.3,0.2,0.7,2.4,7.2,2.42857142857143,-0.388888888888889,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17866",17865,2006,"Adrian Griffin",31,52,45,23.9,11.6,0.521,0.26,0.074,0.144,0.11,0.108,0.022,0.006,0.146,0.1,1.4,1.5,2.9,0.113,0.2,2.2,2.3,1.4,1.9,3.9,0.48,0,0,0,1.9,3.9,0.485,0.48,0.8,1,0.774,1.4,2.9,4.4,1.7,1,0.2,0.8,2.2,4.6,1.09090909090909,-0.456521739130435,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15161",15160,2001,"Al Harrington",20,78,38,24.3,10.2,0.479,0.289,0.074,0.152,0.114,0.118,0.018,0.007,0.195,0.188,-1,2.2,1.2,0.031,-3.2,0.7,-2.5,-0.2,3.1,7,0.444,0,0.1,0.143,3.1,6.9,0.448,0.445,1.3,2,0.656,1.5,3.4,4.9,1.7,0.8,0.2,1.9,2.9,7.5,0.136363636363636,0.746666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15695",15694,2002,"Al Harrington",21,44,1,29.8,14.3,0.526,0.298,0.085,0.151,0.119,0.073,0.016,0.011,0.125,0.216,1.2,1.4,2.6,0.094,-1,-0.2,-1.2,0.3,5.2,11,0.475,0,0.1,0.333,5.2,10.9,0.476,0.476,2.6,3.3,0.799,2.2,4.1,6.3,1.2,0.9,0.5,1.8,3.8,13.1,0.746666666666667,-0.0687022900763359,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16184",16183,2003,"Al Harrington",22,82,37,30.1,12.4,0.493,0.306,0.074,0.157,0.116,0.088,0.015,0.01,0.138,0.216,0.7,3.2,3.9,0.075,-2,0.2,-1.8,0.1,4.7,10.9,0.434,0.2,0.6,0.283,4.6,10.4,0.442,0.441,2.6,3.3,0.77,1.9,4.3,6.2,1.5,0.9,0.4,2,3.4,12.2,-0.0687022900763359,0.0901639344262297,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16710",16709,2004,"Al Harrington",23,79,15,30.9,14.9,0.514,0.277,0.078,0.169,0.123,0.103,0.018,0.007,0.138,0.229,1.8,4.1,5.9,0.116,-0.6,1,0.4,1.5,5.3,11.5,0.463,0.3,1,0.273,5.1,10.5,0.481,0.475,2.3,3.2,0.734,2.1,4.4,6.4,1.7,1,0.3,2.1,3.2,13.3,0.0901639344262297,0.31578947368421,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17295",17294,2005,"Al Harrington",24,66,66,38.6,14.4,0.508,0.356,0.063,0.152,0.105,0.145,0.018,0.005,0.152,0.236,0.6,1,1.6,0.03,-0.5,-0.8,-1.3,0.4,6.9,14.9,0.459,0.2,1.1,0.216,6.6,13.8,0.479,0.468,3.6,5.3,0.672,2.2,4.8,7,3.2,1.3,0.2,3.1,3.8,17.5,0.31578947368421,0.0628571428571429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
